Header,Description,30_Year,,,,
Header,Interpolation,CubicInterp,,,,
Header,MonthsPerPeriod,1,,,,
Header,Currency,USD,,,,
Header,Index,SP,Income Return-Index Growth,Annual,3,4
Header,Index,ND,Income Return-Index Growth,Annual,5,6
Header,Index,ML,Income Return-Index Growth,Annual,7,8
Header,Index,PB,Income Return-Index Growth,Annual,9,10
Header,Index,PM,Income Return-Index Growth,Annual,11,12
Header,Index,EF,Income Return-Index Growth,Annual,13,14
Header,Index,RS,Income Return-Index Growth,Annual,15,16
Header,Index,AG,Income Return-Index Growth,Annual,17,18
Header,Index,AB,Income Return-Index Growth,Annual,19,20
Header,Index,LM,Income Return-Index Growth,Annual,21,22
Header,Index,MVA,Income Return-Index Growth,Annual,23,24
Header,Index,AQ,Income Return-Index Growth,Annual,25,26
Header,MiscRate,RiskFree,Annual,27,27,
Header,MiscRate,MRMGAYield,Annual,28,28,
Header,MiscRate,CALL_SP_D12_K100,Annual,29,29,
Header,MiscRate,CALL_SP_D12_K101,Annual,30,30,
Header,MiscRate,CALL_SP_D12_K102,Annual,31,31,
Header,MiscRate,CALL_SP_D12_K104,Annual,32,32,
Header,MiscRate,CALL_SP_D12_K108,Annual,33,33,
Header,MiscRate,CALL_SP_D12_K112,Annual,34,34,
Header,MiscRate,CALL_SP_D24_K100,Annual,35,35,
Header,MiscRate,CALL_SP_D24_K102,Annual,36,36,
Header,MiscRate,CALL_SP_D24_K104,Annual,37,37,
Header,MiscRate,CALL_SP_D24_K108,Annual,38,38,
Header,MiscRate,CALL_SP_D24_K116,Annual,39,39,
Header,MiscRate,CALL_SP_D24_K124,Annual,40,40,
Header,MiscRate,CALL_ND_D12_K100,Annual,41,41,
Header,MiscRate,CALL_ND_D12_K101,Annual,42,42,
Header,MiscRate,CALL_ND_D12_K102,Annual,43,43,
Header,MiscRate,CALL_ND_D12_K104,Annual,44,44,
Header,MiscRate,CALL_ND_D12_K108,Annual,45,45,
Header,MiscRate,CALL_ND_D12_K112,Annual,46,46,
Header,MiscRate,CALL_ML_D12_K100,Annual,47,47,
Header,MiscRate,CALL_ML_D12_K101,Annual,48,48,
Header,MiscRate,CALL_ML_D12_K102,Annual,49,49,
